epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
79,492.249,1.39544,0.57779,0.00212,0.95198,0.88816,0.9194,0.57459,1.41583,0.56191,0.00295,0.0012278,0.0012278,0.0012278
80,498.073,1.43133,0.60774,0.00206,0.95735,0.88603,0.93181,0.61951,1.36835,0.50876,0.00285,0.0012179,0.0012179,0.0012179
81,503.918,1.4324,0.60443,0.00209,0.93894,0.88816,0.92561,0.59445,1.41371,0.57782,0.00299,0.001208,0.001208,0.001208
82,512.011,1.40716,0.57954,0.00209,0.96717,0.87207,0.9313,0.63286,1.31865,0.49265,0.00274,0.0011981,0.0011981,0.0011981
83,517.944,1.34378,0.52608,0.00205,0.98083,0.88816,0.93297,0.62774,1.3632,0.51309,0.00282,0.0011882,0.0011882,0.0011882
84,523.774,1.48869,0.68384,0.0022,0.97494,0.89579,0.92894,0.61752,1.3618,0.54783,0.00288,0.0011783,0.0011783,0.0011783
85,529.604,1.35456,0.55918,0.002,0.96035,0.89474,0.93028,0.61855,1.34426,0.56794,0.00283,0.0011684,0.0011684,0.0011684
86,537.06,1.46555,0.64734,0.0022,0.98478,0.88816,0.93676,0.59487,1.46327,0.56167,0.00301,0.0011585,0.0011585,0.0011585
87,542.859,1.33418,0.55656,0.00206,0.97738,0.89145,0.9302,0.60168,1.45738,0.5212,0.00298,0.0011486,0.0011486,0.0011486
88,548.66,1.36225,0.5376,0.00201,0.96784,0.89145,0.93247,0.60473,1.42665,0.52182,0.00291,0.0011387,0.0011387,0.0011387
89,554.466,1.4034,0.56021,0.00211,0.96621,0.88158,0.93103,0.57805,1.45035,0.50771,0.00297,0.0011288,0.0011288,0.0011288
90,560.245,1.35241,0.54245,0.00193,0.9713,0.89068,0.9336,0.62237,1.40714,0.48599,0.00289,0.0011189,0.0011189,0.0011189
91,567.674,1.43278,0.57477,0.002,0.95344,0.87579,0.92526,0.58502,1.39723,0.54759,0.00291,0.001109,0.001109,0.001109
92,574.812,1.42564,0.57298,0.00195,0.94927,0.89145,0.92979,0.59992,1.43885,0.51632,0.00306,0.0010991,0.0010991,0.0010991
93,580.621,1.36325,0.54666,0.00206,0.96602,0.88487,0.92975,0.59793,1.39319,0.49652,0.00291,0.0010892,0.0010892,0.0010892
94,586.417,1.36529,0.55825,0.00199,0.98192,0.89349,0.93966,0.6373,1.32775,0.48824,0.00276,0.0010793,0.0010793,0.0010793
95,592.411,1.44324,0.59419,0.00211,0.97645,0.88158,0.92686,0.6103,1.39297,0.50593,0.00286,0.0010694,0.0010694,0.0010694
96,598.244,1.32983,0.54235,0.00197,0.95608,0.89474,0.92717,0.61218,1.33632,0.47956,0.00276,0.0010595,0.0010595,0.0010595
97,604.063,1.33798,0.52724,0.00195,0.9545,0.89716,0.9368,0.63339,1.33969,0.52797,0.00277,0.0010496,0.0010496,0.0010496
